"name","b","n","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"redistricting",6,3158,0.18762813792450242,0.19357726017825225,0.17568089353553226,0.15036084646048728,0.08969654350956192,0.19232589026165625,0.1992457580011266,0.17643217419088258,0.15068904171303515,0.09068706709538253
"ftrain redistricting",6,3158,45.48901556571663,0.8886333,0.33866695995471696,0.23916858789888018,0.44064679692071235,18.633312020823908,0.921911595240196,0.3448022601467979,0.24200394255013882,0.4314152965467083
"redistricting",6,6300,0.14766386735542633,0.17433206925625916,0.14531914424622486,0.13656102153140262,0.07315911773300242,0.1518995442051187,0.17487437018209007,0.14594458091648094,0.13683870734367673,0.07402670839215726
"ftrain redistricting",6,6300,43.54789512670511,0.8766214060158595,0.3341317340536991,0.23848073748135237,0.4406302680394346,18.06084445059796,0.9098997012560557,0.33779162379773314,0.24067448269627398,0.43104426268959284
"redistricting",6,12566,0.12395765510769113,0.15880988226390055,0.1248593443422741,0.12653396073794834,0.06242772382078816,0.12722371438427718,0.16193750279590094,0.12482263254818846,0.12648149807531797,0.06291493947716023
"ftrain redistricting",6,12566,42.254694618294074,0.8490527000000014,0.3256092250754933,0.2352219701345638,0.428260828097382,17.45522358376298,0.8715355761059486,0.32794008716403944,0.2371463315033396,0.4184747148068198
"redistricting",6,25066,0.10541691593690222,0.1477860219413133,0.10841708555236265,0.11793601377942571,0.05387471013356879,0.10741130880095333,0.14838956687382523,0.1077034088115425,0.11749296285338505,0.05393205975150582
"ftrain redistricting",6,25066,37.18447961842754,0.8416767118490138,0.3124458596494943,0.23005095204819087,0.40534551819957465,15.477458071686554,0.8641595879549608,0.31519043684921744,0.2321214829354507,0.39712569172180456
"redistricting",6,50000,0.09314107039164293,0.13950866375029006,0.09689167476468342,0.11152549754745285,0.047988636170986976,0.09404350523621063,0.1383578913060368,0.09554999215701362,0.11067886651555257,0.04765882435182428
"ftrain redistricting",6,50000,32.33148926999458,0.8505839383592135,0.3016438402813141,0.22542661145952245,0.38404245120898906,13.598787692179299,0.8725060314986739,0.3041435099768076,0.22747744900891317,0.37721223601064213
"uniform",7,100,0.6586539118947354,0.3712580482190245,0.5034144022977188,0.2731741863361372,0.2708533915328218,0.6759598890733496,0.3647664898650665,0.48866101614349383,0.2687958329792525,0.26575363658624374
"ftrain uniform",7,100,96.59839733903688,2.1022999999999987,0.8648760607401487,0.3846858541725831,1.0739854357703242,72.53901798230089,2.078302509046339,0.8498865659083489,0.381156711874687,1.0433314915744751
"redistricting",7,100,0.6586539118947354,0.3712580482190245,0.5034144022977188,0.2731741863361372,0.2708533915328218,0.6759598890733496,0.3647664898650665,0.48866101614349383,0.2687958329792525,0.26575363658624374
"ftrain redistricting",7,100,96.59839733903688,2.1022999999999987,0.8648760607401487,0.3846858541725831,1.0739854357703242,72.53901798230089,2.078302509046339,0.8498865659083489,0.381156711874687,1.0433314915744751
"uniform",7,199,0.427481366568454,0.2949021171435412,0.4037901983206004,0.242857223701857,0.20833440823410693,0.43151578441998784,0.2874096832453918,0.3919276599958743,0.2384632843589998,0.2035088688505864
