"name","method","fixweighting","b","k","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"no smoothing","none",true,1,1,0.08199085419352564,0.21065021036381268,0.04508593345416896,0.07642531271594956,0.02602810492117493,0.062483116169471886,0.20601727793392854,0.04219382757152071,0.07376738823351267,0.023898607101372215
"no smoothing","none",true,1,2,0.006304336430393974,0.0575389755536799,0.005248013035455402,0.025743761222669234,0.002770164694300503,0.005692083371832252,0.053086468400005735,0.005015184608355873,0.025109119048947734,0.0026176189947174186
"no smoothing","none",true,1,3,0.0016069241196323882,0.023490024924975015,0.0014474808182061304,0.013494473854031182,0.0007472160044115269,0.0022220882385688826,0.0229476455725722,0.0021541654475455627,0.01642711635035134,0.0010884456888599632
"no smoothing","none",true,1,4,0.001210453394472548,0.02086328949866683,0.0011657831246064075,0.012100861280008753,0.0005891806689086993,0.0021512752161007495,0.02520188370327713,0.002213889074854999,0.016658598536156942,0.0010968474549308618
"no smoothing","none",true,1,5,0.0012432354347682822,0.02254662584490222,0.0012318598571675018,0.012437171435701043,0.0006170225161919848,0.002278644892450875,0.029050568412054167,0.0023994532096588517,0.017346914238474932,0.0011800499778923273
"no smoothing","none",true,1,6,0.00131569713602852,0.023045241196128385,0.0013160362917184803,0.012854402611002243,0.0006572208608321768,0.0023650396181964504,0.03087498853407593,0.002516239926826206,0.01776557835362149,0.0012334145141537959
"no smoothing","none",true,1,7,0.0013934325617224064,0.023223178149918075,0.0013981900586870597,0.013248763632966504,0.0006975494978938768,0.0024267946185768234,0.03146824891014886,0.0025962495821482924,0.018046274132962944,0.0012703848024305819
"no smoothing","none",true,1,8,0.001476088798809731,0.02356943138704363,0.0014829924638708153,0.013643633793640591,0.0007395688099785967,0.0024830607567169526,0.031604077674912134,0.002665289965364476,0.01828478807998635,0.0013027780983659583
"no smoothing","none",true,1,9,0.0015636690762809696,0.024007078794182294,0.0015722666586770668,0.014047175361020516,0.0007839058818188688,0.0025417246809525933,0.03157703688426925,0.00273410662651877,0.018519418534206945,0.001335497833576235
"no smoothing","none",true,1,10,0.0016554410925736915,0.024456368030049712,0.0016658629965780555,0.014458084036821726,0.000830392237261781,0.0026048669300083624,0.03150499271318093,0.002806027358406862,0.018761503243590157,0.0013700013808101812
"no smoothing","none",true,1,11,0.001749857227621257,0.024968208358979914,0.0017623610108285692,0.014869826014611792,0.0008782948132664422,0.0026721435563108885,0.03143227204869348,0.0028812653689994,0.01901146825847175,0.0014063020647310735
"no smoothing","none",true,1,12,0.0018458405102880274,0.025448433562794276,0.0018606509608179345,0.015277824525767217,0.0009270615229622138,0.0027425556224138594,0.031384818838971595,0.0029590878721290578,0.019266613816745853,0.0014439883627608812
"no smoothing","none",true,1,13,0.0019424429009939489,0.025900507123032813,0.001959732345466764,0.015678403462222105,0.0009761984951255104,0.002815274002424781,0.03135207555490365,0.0030388214449051775,0.01952456490079811,0.0014826969393610377
"no smoothing","none",true,1,14,0.0020390999679998816,0.02632715950440428,0.002058980004612875,0.016069697909359425,0.0010254015116357264,0.0028895200893455024,0.03133233602855034,0.003119766725085356,0.01978298686509718,0.0015220643712381776
"no smoothing","none",true,1,15,0.0021352935671552923,0.026737009666806515,0.0021578232417273522,0.016450207639925555,0.0010743927698056302,0.0029645439679409913,0.031321747950009485,0.003201206158745043,0.020039609992402264,0.0015617260802701586
"no smoothing","none",true,1,16,0.0022305077246018968,0.027133412218930536,0.0022557161985354104,0.0168186395469735,0.0011229035613084211,0.0030397774149927984,0.0313195532126579,0.003282613052436734,0.020292873130986506,0.0016014115450678995
"no smoothing","none",true,1,17,0.0023249847832084447,0.02756277068844516,0.00235287156365573,0.017176546366413574,0.0011710447159330977,0.003115150624663189,0.03132439644720212,0.003363947924583588,0.02054277621801332,0.0016410958093870307
"no smoothing","none",true,1,18,0.0024182335301635317,0.027967784338043332,0.002448788956121528,0.017522787595520374,0.0012185673092013232,0.003190222390452751,0.031335301258195274,0.0034447870147065684,0.020788163107654887,0.001680563983065617
"no smoothing","none",true,1,19,0.0025104152909638648,0.028350116966494417,0.0025436085033717767,0.017858531271198397,0.0012655447873468032,0.00326493487839393,0.031349869411843055,0.0035250884543376717,0.021029065572012572,0.0017197924081365646
