"name","method","b","J","cond_R","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"entropy","tree",9,21,705.498124236955,79.31402068504653,1.8720883896271017,1.6239824084353625,0.5687830639945581,1.3583759176720687,16.987412025188757,1.9117078623103883,1.6359887114930327,0.5698860718532813,1.296378502860716
"entropy","tree",9,24,573.473830611601,68.02740138641826,1.7353993249297006,1.536808389399892,0.5442909260231006,1.2792558898049675,15.605483640013597,1.7750187976129874,1.5502885468384076,0.5454665782974827,1.2234137966653855
"entropy","tree",9,27,249.23738548733348,68.43197609526376,1.4700430349090925,1.2409571731496636,0.5053987509252463,0.9854348676513383,11.093315010870286,1.5153631184704104,1.2462774297607955,0.5047322020715674,0.9190961165716501
"entropy","tree",9,30,160.19532015674133,11.715060895376574,1.0311962833702617,1.163393352867026,0.4909465637159246,0.816695533079016,4.586168405427899,1.0708157560535485,1.1722661199592952,0.49157881445833745,0.8036838661388309
"entropy","tree",9,34,129.22592099792996,7.897455669200015,0.8302686201208223,1.111649988577096,0.45828942105308246,0.7803556893201967,4.6880319893271025,0.8623285669744111,1.1178492958963269,0.4586855794883093,0.774383483653613
"entropy","tree",9,38,102.81898106982227,7.082240350976482,0.8280764012929551,0.8199502818600539,0.40952054331882365,0.6033078117110717,3.9533130778173877,0.7829894000339503,0.8187114418123564,0.4089687394752212,0.5892194357309142
"entropy","tree",9,43,81.74246801158937,7.5350052843929545,0.7586434117788166,0.7372897111576481,0.38905059420225946,0.5488217296201321,3.546620985427063,0.7227241132256291,0.7351532149850797,0.38786259087544267,0.5314875041274121
"entropy","tree",9,49,71.11747750007974,3.3164661741121355,0.3696333825632951,0.6581981169151254,0.3528080599724745,0.3710400588726735,0.8738551719875239,0.37759919266544406,0.6531802495294872,0.350524760412031,0.3519258011035176
"entropy","tree",9,55,57.612706261769546,2.543988290717951,0.3956645181188446,0.6881953964438728,0.35337258556496964,0.38175935726046073,0.8376370782192513,0.39721832106085836,0.6828343004830203,0.350902749867441,0.3640600629039152
"entropy","tree",9,63,52.448919749687136,2.1884574339772707,0.43143014732195273,0.6727599678751678,0.3382963993805756,0.3714390464248213,0.8030973043221271,0.3907002142317177,0.6656375338525344,0.3365461054823811,0.35308718461278266
"entropy","tree",9,71,50.7099789430239,1.1974704994117642,0.3726214090893004,0.5297463095326632,0.28701719104069295,0.2892511739079604,0.6097330537039735,0.3387433225759846,0.5266106925758142,0.28587763081582696,0.2768556940987742
"entropy","tree",9,80,50.00236689497397,0.7341607202247665,0.22182123056756622,0.26673143797385723,0.1906905223506492,0.14268000492663407,0.29526851592229936,0.2325411873566643,0.26503617983619604,0.18929524805164996,0.13425287823628432
"entropy","tree",9,90,43.236943791331505,0.3271870461541062,0.17772965885030184,0.21456946029285362,0.1863971909017537,0.11242732894157544,0.19615724592039804,0.18856236494399914,0.21420702043807877,0.18615031355227077,0.10822008740315632
"entropy","tree",9,101,41.74273619381849,0.41277373095010794,0.18942523152782242,0.1968079624990282,0.16334836042972264,0.10195605910497127,0.1990842124477783,0.2048502537683369,0.20151860413982803,0.1650295204097619,0.09982399867037522
"entropy","tree",9,115,38.93204911832337,0.40368289690642006,0.17414006116536843,0.17742178339984832,0.1538219108981432,0.09425244729024637,0.2029156421889734,0.1977812942073659,0.18453709678999874,0.15649051711384757,0.09386343307220893
"entropy","tree",9,129,30.660125405203704,0.40936701736457126,0.17161698701399988,0.16786775335715654,0.15120619358342488,0.09335968082317544,0.20922749336126814,0.18710160808809537,0.17098757843794216,0.15159960706971157,0.0901045948338607
"entropy","tree",9,146,27.655885513093022,0.28474361052652886,0.16483129949496664,0.19331927897013257,0.1671126569209892,0.10157735915084042,0.19712858752788096,0.1875133169884164,0.19780015064253414,0.1687037940703648,0.10062020691620778
"entropy","tree",9,165,26.023283372396975,0.16915301641220618,0.13167145549279008,0.09817529568993615,0.11629360506373465,0.05350901137164628,0.11177506863472332,0.13512136910861672,0.09991236032679403,0.11643257373225792,0.05193114934288045
