"name","dataset","f_train","b","k","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"re-weighting fix","gaussian","auxiliary",2,10,0.0016550668471514388,0.028901393965248524,0.0017864645915034434,0.014999589759811483,0.0008721970564910477,6.445940652120021,0.0377879149463945,0.003751348686813574,0.022477191357871105,0.0025380178102593805
"re-weighting fix","gaussian","auxiliary",2,11,0.0017118372097119545,0.02905304203604807,0.0018507982085306102,0.015271208702842477,0.0009032200654227595,7.005305079200164,0.038055134438228416,0.003863192928889581,0.022824865192157404,0.002626966582350771
"re-weighting fix","gaussian","auxiliary",2,12,0.0017667009049110135,0.02918054515318316,0.0019123733930323573,0.01552670134967257,0.0009330021072770082,7.498061860509145,0.03827665525940914,0.003965667098455324,0.023137479694684625,0.0027063247215738024
"re-weighting fix","gaussian","auxiliary",2,13,0.0018199379938769007,0.029295675422969757,0.001971598650573556,0.015768471150193298,0.0009617256535988333,7.92928150538911,0.03846694013236991,0.004060048789946112,0.023420480619883156,0.002777438523198216
"re-weighting fix","gaussian","auxiliary",2,14,0.0018713442069178418,0.02940058705920704,0.0020283789708095907,0.015996772982432093,0.0009893247513182665,8.30581383342541,0.03864714223797288,0.004146790025413858,0.023676675763151404,0.0028412096196983538
"re-weighting fix","gaussian","auxiliary",2,15,0.0019213974349244708,0.029500418712340843,0.0020832835903199427,0.01621438491708639,0.0010160688117926858,8.6346196167274,0.03890526207210918,0.004227308493197959,0.02391111297773431,0.0028989339233364405
"re-weighting fix","gaussian","auxiliary",2,16,0.001970138833329609,0.029595735144479395,0.0021364350549899916,0.01642221261978704,0.0010420056209572844,8.922301813069673,0.039147055292504056,0.004302291273938531,0.024126606750062854,0.002951451921252654
"re-weighting fix","gaussian","auxiliary",2,17,0.0020178195347254966,0.029736305445305585,0.002188159634441486,0.016621870790321753,0.0010672860459853147,9.174809001541961,0.03937426201695526,0.004372576741435678,0.024326163489849912,0.0029995965055416326
"re-weighting fix","gaussian","auxiliary",2,18,0.0020646960814670644,0.02992328460683304,0.0022387703535640957,0.016814831959473316,0.001092057428072488,9.39726197704526,0.039588277230796075,0.004438889059121358,0.024512302593182045,0.003044066556609214
"re-weighting fix","gaussian","auxiliary",2,19,0.0021108822777487686,0.03009997266986014,0.0022884420868145064,0.017001987953082495,0.0011163973750722613,9.594201136559862,0.039791115873913784,0.004501808731102945,0.024687047966772856,0.003085434145975334
"re-weighting fix","gaussian","auxiliary",2,20,0.002156649634789872,0.030268551832283795,0.002337491573253176,0.01718469782254512,0.0011404570108762375,9.769336338632543,0.03998542641012319,0.0045620389825923756,0.024852607369672,0.0031242742136646795
"original {\\sc Dsea}","gaussian","auxiliary",3,0,46.671007296182246,1.729186666666666,0.8243259554620201,0.3710176880982349,0.9696785305077406,49.72818600587133,1.709570464144191,0.7988316046364106,0.3645404161063631,0.9387737440377693
"original {\\sc Dsea}","gaussian","auxiliary",3,1,0.07100740486714206,0.21357668006684669,0.04779415670944017,0.07849220811884026,0.027091423047898786,0.057728942222499434,0.19700197233338101,0.03882100385270151,0.07068889402402725,0.02192927436521429
"original {\\sc Dsea}","gaussian","auxiliary",3,2,0.007284631597253377,0.060255997471800174,0.006693070453996662,0.028972609597794085,0.003443526539584239,0.004522532222069707,0.05562599314847358,0.004166076389075947,0.02285610271806069,0.002140819718519774
"original {\\sc Dsea}","gaussian","auxiliary",3,3,0.0038285812514763378,0.036077840725838584,0.003752345677214959,0.021665069684784495,0.0018887898535000294,0.003170376716040773,0.045747623738002265,0.003162595798928057,0.01989132357622483,0.0015824850016556758
"original {\\sc Dsea}","gaussian","auxiliary",3,4,0.0049878844205523895,0.03736115014805684,0.00492000663197441,0.024807065961515152,0.002471243017606807,0.004778614320498917,0.054424408630399365,0.004800143482270259,0.02451463759303572,0.00239651196628738
"original {\\sc Dsea}","gaussian","auxiliary",3,5,0.006753904862079795,0.04268391442398966,0.006655358710013199,0.028856941450544217,0.0033439496585439183,0.0064775011942813186,0.05933024228299962,0.006482491005542931,0.028499214081547212,0.003240516258614124
"original {\\sc Dsea}","gaussian","auxiliary",3,6,0.008676979561750377,0.04813332623657979,0.008539673779807981,0.03269347924249721,0.004292394502099595,0.008148143301120599,0.06226030691278826,0.008115504173085474,0.03189674557223488,0.004063236874108587
"original {\\sc Dsea}","gaussian","auxiliary",3,7,0.010701097766159112,0.05277950176902135,0.010524383927280664,0.036300201041363375,0.005291055180179045,0.009850862444187408,0.0639612249281886,0.009772327248058262,0.035009746644839794,0.0048991169450553155
"original {\\sc Dsea}","gaussian","auxiliary",3,8,0.012810873512940428,0.05699850455782945,0.012598006274401646,0.03972153071260272,0.0063335733103231625,0.011615566530405692,0.06633537315095903,0.011490305544502628,0.037969921746316554,0.0057656470903693505
"original {\\sc Dsea}","gaussian","auxiliary",3,9,0.014993420233934488,0.06094867496295828,0.014749763029594545,0.042986044080215134,0.007414249144083449,0.013448127349409391,0.06948629930008002,0.013279166466004907,0.040825431752371785,0.00666710661328314
"original {\\sc Dsea}","gaussian","auxiliary",3,10,0.017236149974445624,0.06471038835267345,0.016967998193438874,0.04611127314581481,0.008527131894209733,0.015344209778026294,0.07249949746394223,0.015136316438360713,0.04359311688521603,0.00760194900877086
"original {\\sc Dsea}","gaussian","auxiliary",3,11,0.019526923910096316,0.0683712850400987,0.01924097087826328,0.049108905835749415,0.00966630716618511,0.017295402626380862,0.07532881240597752,0.017054178885124175,0.04627849079057295,0.008566270879809173
