"name","configfile","b","k","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"strong smearing","conf/data/gaussian-high.yml",16,12,0.030744058324947227,0.09453792272793454,0.02868561953510909,0.06003055429028265,0.014679223586748311,0.03671797423062353,0.12096593371963765,0.03339749341090847,0.06483940406483042,0.0172374193570522
"strong smearing","conf/data/gaussian-high.yml",16,13,0.03405545963842834,0.09842919809644675,0.03176051463348233,0.06317805897448382,0.016254810736460196,0.040229868390357554,0.12487060173028461,0.036583109685533965,0.06787488866236577,0.018882313033743596
"strong smearing","conf/data/gaussian-high.yml",16,14,0.037493386241482296,0.10214330893969244,0.03494131746755774,0.0662799117501727,0.017886569201276275,0.043869995666222274,0.12855264984343462,0.03986994123799358,0.07087406205562838,0.020581967614080057
"strong smearing","conf/data/gaussian-high.yml",16,15,0.041054108653746695,0.10605057319319863,0.038226433787713246,0.0693409998407748,0.019573340103525093,0.04763466633941534,0.13207523806966343,0.043256861848148954,0.07384052031917142,0.022335391388658164
"strong smearing","conf/data/gaussian-high.yml",16,16,0.04473450885662781,0.10994856794107202,0.04161463744655099,0.07236563956240634,0.021314190561455382,0.05152091527433689,0.13589152399730284,0.04674314936147988,0.07677760960353067,0.024141848909775693
"strong smearing","conf/data/gaussian-high.yml",16,17,0.04852895864759012,0.1137384123515259,0.045102159758597264,0.07535527922473836,0.023106923724847073,0.05552325266999776,0.13974369571017026,0.05032547716908271,0.07968610009878813,0.02599931621837564
"strong smearing","conf/data/gaussian-high.yml",16,18,0.052433479898563964,0.11742819722441351,0.04868668297712693,0.07831226787555291,0.024950103221135424,0.059637689756509425,0.14353986443211228,0.05400176474497479,0.08256758604144682,0.027906434936483416
"strong smearing","conf/data/gaussian-high.yml",16,19,0.056444108739215834,0.12102357898627703,0.05236592178998904,0.08123859515655389,0.026842309324235557,0.06386035013564831,0.14724127627679912,0.057770040702335435,0.08542350160614415,0.029861904457518178
"strong smearing","conf/data/gaussian-high.yml",16,20,0.06055484874556049,0.12452777133005626,0.056135538311679146,0.08413440747594143,0.028781100849709147,0.06818511834492613,0.15085317546870894,0.06162606225312616,0.08825345919233672,0.031863293756130076
"strong smearing","conf/data/gaussian-high.yml",17,0,65.0433760321953,1.701526666666666,0.8175220626966667,0.3701658502638151,0.9827778577057313,21.549657121264417,1.7022998930858666,0.8086398343023105,0.36603081075909666,0.8999405843608059
"strong smearing","conf/data/gaussian-high.yml",17,1,0.6049197491221916,0.45299024494143425,0.16242920492653481,0.14951031582223742,0.11077024765094111,0.3600115672571733,0.43949853143274087,0.15398345557103127,0.14437370088389068,0.09949648377059091
"strong smearing","conf/data/gaussian-high.yml",17,2,0.08742322337948732,0.22322839894042723,0.05464815285859439,0.08418336312893217,0.031600794991449,0.06694589740171512,0.20721926210070285,0.04858393719016728,0.07888101575069766,0.027106619843612165
